dist,n,run,algorithm,wall_ms
uniform,134217728,1,cpu-stdsort-par,796.526
uniform,134217728,2,cpu-stdsort-par,797.464
uniform,134217728,3,cpu-stdsort-par,794.270
uniform,134217728,4,cpu-stdsort-par,794.211
uniform,134217728,5,cpu-stdsort-par,793.877
uniform,268435456,1,cpu-stdsort-par,1602.963
uniform,268435456,2,cpu-stdsort-par,1595.348
uniform,268435456,3,cpu-stdsort-par,1592.791
uniform,268435456,4,cpu-stdsort-par,1594.730
uniform,268435456,5,cpu-stdsort-par,1595.185
uniform,536870912,1,cpu-stdsort-par,3287.645
uniform,536870912,2,cpu-stdsort-par,3272.980
uniform,536870912,3,cpu-stdsort-par,3275.077
uniform,536870912,4,cpu-stdsort-par,3270.327
uniform,536870912,5,cpu-stdsort-par,3286.280
uniform,1073741824,1,cpu-stdsort-par,6802.464
uniform,1073741824,2,cpu-stdsort-par,6863.363
uniform,1073741824,3,cpu-stdsort-par,6872.878
uniform,1073741824,4,cpu-stdsort-par,6865.252
uniform,1073741824,5,cpu-stdsort-par,6880.761
sorted,134217728,1,cpu-stdsort-par,212.149
sorted,134217728,2,cpu-stdsort-par,210.214
sorted,134217728,3,cpu-stdsort-par,241.301
sorted,134217728,4,cpu-stdsort-par,205.815
sorted,134217728,5,cpu-stdsort-par,208.396
sorted,268435456,1,cpu-stdsort-par,444.990
sorted,268435456,2,cpu-stdsort-par,432.265
sorted,268435456,3,cpu-stdsort-par,447.043
sorted,268435456,4,cpu-stdsort-par,444.171
sorted,268435456,5,cpu-stdsort-par,435.895
sorted,536870912,1,cpu-stdsort-par,936.228
sorted,536870912,2,cpu-stdsort-par,940.586
sorted,536870912,3,cpu-stdsort-par,938.688
sorted,536870912,4,cpu-stdsort-par,956.312
sorted,536870912,5,cpu-stdsort-par,964.232
sorted,1073741824,1,cpu-stdsort-par,1975.936
sorted,1073741824,2,cpu-stdsort-par,1935.640
sorted,1073741824,3,cpu-stdsort-par,1979.032
sorted,1073741824,4,cpu-stdsort-par,1967.694
sorted,1073741824,5,cpu-stdsort-par,1908.666
zero,134217728,1,cpu-stdsort-par,188.837
zero,134217728,2,cpu-stdsort-par,204.023
zero,134217728,3,cpu-stdsort-par,191.121
zero,134217728,4,cpu-stdsort-par,189.182
zero,134217728,5,cpu-stdsort-par,190.125
zero,268435456,1,cpu-stdsort-par,376.267
zero,268435456,2,cpu-stdsort-par,427.021
zero,268435456,3,cpu-stdsort-par,387.113
zero,268435456,4,cpu-stdsort-par,379.994
zero,268435456,5,cpu-stdsort-par,376.999
zero,536870912,1,cpu-stdsort-par,779.954
zero,536870912,2,cpu-stdsort-par,784.448
zero,536870912,3,cpu-stdsort-par,810.058
zero,536870912,4,cpu-stdsort-par,803.655
zero,536870912,5,cpu-stdsort-par,783.344
zero,1073741824,1,cpu-stdsort-par,1786.118
zero,1073741824,2,cpu-stdsort-par,1804.330
zero,1073741824,3,cpu-stdsort-par,1796.570
zero,1073741824,4,cpu-stdsort-par,1811.183
zero,1073741824,5,cpu-stdsort-par,1790.061
bucket,134217728,1,cpu-stdsort-par,738.390
bucket,134217728,2,cpu-stdsort-par,747.576
bucket,134217728,3,cpu-stdsort-par,757.368
bucket,134217728,4,cpu-stdsort-par,780.018
bucket,134217728,5,cpu-stdsort-par,779.961
bucket,268435456,1,cpu-stdsort-par,1477.250
bucket,268435456,2,cpu-stdsort-par,1487.437
bucket,268435456,3,cpu-stdsort-par,1504.345
bucket,268435456,4,cpu-stdsort-par,1503.840
bucket,268435456,5,cpu-stdsort-par,1493.187
bucket,536870912,1,cpu-stdsort-par,3076.263
bucket,536870912,2,cpu-stdsort-par,3054.153
bucket,536870912,3,cpu-stdsort-par,3041.063
bucket,536870912,4,cpu-stdsort-par,3060.725
bucket,536870912,5,cpu-stdsort-par,3051.652
bucket,1073741824,1,cpu-stdsort-par,6298.276
bucket,1073741824,2,cpu-stdsort-par,6334.585
