device,key,distribution,n,run,algorithm,wall_ms,gpu_ms,threads,maxseq,minseq,phase1_iterations,phase1_sequences,max_stack_depth,verified,gpuqsort_version,metallib_sha256,tuning_entry,os_version
Apple M5 Max,uint32,uniform,16777216,1,gpu-quicksort,13.048,9.512,512,2048,2048,12,2889,2,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,uniform,16777216,2,gpu-quicksort,13.176,9.690,512,2048,2048,12,2889,2,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,uniform,16777216,3,gpu-quicksort,13.077,9.583,512,2048,2048,12,2889,2,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,uniform,16777216,4,gpu-quicksort,12.888,9.564,512,2048,2048,12,2889,2,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,uniform,16777216,5,gpu-quicksort,12.827,9.058,512,2048,2048,12,2889,2,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,uniform,67108864,1,gpu-quicksort,43.549,38.762,512,8192,4096,13,8192,2,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,uniform,67108864,2,gpu-quicksort,42.580,38.530,512,8192,4096,13,8192,2,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,uniform,67108864,3,gpu-quicksort,42.847,38.455,512,8192,4096,13,8192,2,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,uniform,67108864,4,gpu-quicksort,43.366,38.547,512,8192,4096,13,8192,2,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
Apple M5 Max,uint32,uniform,67108864,5,gpu-quicksort,43.190,38.918,512,8192,4096,13,8192,2,true,0.4.0,daefabcd5b9a6b33c15bbfb51561bd493900dc5a37ad5b75a09f8ca0da89ca3b,Apple M5 Max,Version 26.6.2 (Build 25G83)
